epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9988,2.21847,3.85707,1.65887,0.00331,0.99333,0.53112,0.19568,1.49758,3.71044,1.19295,0.00036,0.00036,0.00036
2,52.0545,1.69368,2.53014,1.38093,0.00331,0.99333,0.5081,0.13794,1.54154,3.77202,1.29638,0.000725348,0.000725348,0.000725348
3,82.0892,1.67243,2.18048,1.34047,0.00311,0.93333,0.01119,0.00482,1.90936,3.85077,1.75613,0.00107565,0.00107565,0.00107565
4,120.786,1.60954,2.0609,1.35791,0.65719,0.13333,0.55569,0.16905,1.92436,3.27954,1.69694,0.0014109,0.0014109,0.0014109
5,148.007,1.62635,1.9403,1.36394,0.94457,0.56802,0.83006,0.41309,1.63906,2.85618,1.49782,0.0017311,0.0017311,0.0017311
6,185.453,1.50241,1.77411,1.31573,0.91212,0.91333,0.93902,0.51875,1.39449,2.10737,1.28221,0.001802,0.001802,0.001802
7,223.285,1.52934,1.58386,1.29913,0.77013,0.83667,0.87013,0.37381,1.8232,1.84475,1.5992,0.0017624,0.0017624,0.0017624
8,264.816,1.53298,1.521,1.28497,0.68907,0.22,0.25491,0.14982,2.54399,3.33099,2.26639,0.0017228,0.0017228,0.0017228
9,323.076,1.40131,1.41741,1.21127,0.9242,0.32513,0.34506,0.18015,2.15257,6.51177,1.84442,0.0016832,0.0016832,0.0016832
10,378.13,1.34863,1.27545,1.19714,0.91902,0.87009,0.89134,0.54513,1.21769,1.33075,1.09768,0.0016436,0.0016436,0.0016436
11,442.229,1.32991,1.24906,1.16924,0.93652,0.73333,0.73326,0.42577,1.30198,1.28671,1.1329,0.001604,0.001604,0.001604
12,511.775,1.2598,1.0697,1.12496,0.94322,0.7199,0.72098,0.46849,1.2266,1.16082,1.14888,0.0015644,0.0015644,0.0015644
13,572.923,1.30631,1.13312,1.15437,0.97468,0.96667,0.96593,0.6277,1.12851,1.08835,1.05034,0.0015248,0.0015248,0.0015248
14,652.482,1.23416,1.10686,1.10335,0.93629,0.76667,0.78638,0.532,1.07286,1.01609,0.97543,0.0014852,0.0014852,0.0014852
15,717.515,1.28424,0.99476,1.12482,0.94252,0.95667,0.96284,0.6211,1.09027,0.95878,0.99589,0.0014456,0.0014456,0.0014456
16,797.998,1.23859,0.94031,1.11018,0.84921,0.73213,0.71041,0.45924,1.24505,0.93194,1.04005,0.001406,0.001406,0.001406
17,874.807,1.19311,0.91516,1.09156,0.96593,0.87333,0.8727,0.61973,1.04146,0.78913,0.9756,0.0013664,0.0013664,0.0013664
18,964.851,1.14843,0.89108,1.07175,0.97461,0.72,0.7229,0.52868,0.93329,0.74228,0.95043,0.0013268,0.0013268,0.0013268
19,1027.76,1.11126,0.84142,1.04431,0.96641,0.97667,0.97963,0.68843,0.99968,0.74087,0.98656,0.0012872,0.0012872,0.0012872
20,1089.54,1.15406,0.8781,1.07295,0.97526,0.97667,0.97157,0.70509,0.91698,0.85669,0.93727,0.0012476,0.0012476,0.0012476
21,1148.8,1.12133,0.86058,1.07616,0.9733,0.97667,0.97486,0.70775,0.97072,0.71572,0.97236,0.001208,0.001208,0.001208
22,1220.61,1.16023,0.84085,1.06281,0.97426,0.97667,0.98449,0.71888,0.95626,0.71238,0.91571,0.0011684,0.0011684,0.0011684
23,1288.02,1.1563,0.8817,1.05975,0.97413,0.96333,0.97628,0.7032,0.91314,0.70053,0.91361,0.0011288,0.0011288,0.0011288
24,1352.73,1.09591,0.84469,1.03526,0.97777,0.97667,0.98243,0.76304,0.81332,0.64949,0.91002,0.0010892,0.0010892,0.0010892
25,1398.58,1.07565,0.80216,1.02744,0.97616,0.97667,0.97675,0.69382,1.00981,0.6605,0.96164,0.0010496,0.0010496,0.0010496
26,1454.18,1.00972,0.7582,1.01641,0.96972,0.97667,0.98034,0.73037,0.86334,0.65269,0.93032,0.00101,0.00101,0.00101
27,1503.05,0.96851,0.72505,1.00559,0.97249,0.97667,0.97876,0.73841,0.85755,0.63706,0.90475,0.0009704,0.0009704,0.0009704
28,1556.18,0.95046,0.72486,0.99345,0.9735,0.97667,0.97992,0.77374,0.78581,0.58967,0.87727,0.0009308,0.0009308,0.0009308
29,1618.09,0.97017,0.69155,0.97815,0.96997,0.97667,0.97438,0.77951,0.71998,0.60406,0.87094,0.0008912,0.0008912,0.0008912
30,1671.68,1.08029,0.76048,1.01557,0.97008,0.97667,0.98003,0.75252,0.83374,0.63111,0.88209,0.0008516,0.0008516,0.0008516
