epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1723.64,0.99265,0.71118,1.00195,0.97452,0.97667,0.98148,0.76656,0.80703,0.57921,0.89324,0.000812,0.000812,0.000812
32,1780.98,0.90359,0.67591,0.97961,0.97498,0.97667,0.98571,0.79051,0.75034,0.52864,0.86265,0.0007724,0.0007724,0.0007724
33,1826.43,0.97743,0.67144,0.99015,0.97265,0.97667,0.9849,0.75587,0.83436,0.56606,0.88635,0.0007328,0.0007328,0.0007328
34,1876.36,0.91902,0.68423,0.95994,0.97587,0.97667,0.98535,0.77601,0.79904,0.53912,0.87447,0.0006932,0.0006932,0.0006932
35,1932.82,0.86332,0.6343,0.9548,0.97599,0.97667,0.98413,0.78301,0.77113,0.51836,0.87308,0.0006536,0.0006536,0.0006536
36,1988.05,0.89655,0.6416,0.94848,0.97541,0.97667,0.98536,0.78859,0.73586,0.50773,0.85232,0.000614,0.000614,0.000614
37,2040.41,0.89396,0.6319,0.95594,0.97342,0.97667,0.98482,0.77516,0.71308,0.52168,0.85474,0.0005744,0.0005744,0.0005744
38,2083.55,0.88865,0.62598,0.95597,0.97327,0.97667,0.98587,0.80851,0.67622,0.4992,0.84984,0.0005348,0.0005348,0.0005348
39,2129.62,0.85961,0.62988,0.94957,0.9735,0.97969,0.98651,0.80924,0.71105,0.50701,0.85819,0.0004952,0.0004952,0.0004952
40,2179.14,0.88452,0.63725,0.95204,0.9735,0.97965,0.98511,0.807,0.68794,0.49882,0.84491,0.0004556,0.0004556,0.0004556
41,2231.01,0.75154,0.58712,0.92177,0.9735,0.97972,0.98717,0.80834,0.72105,0.51826,0.8672,0.000416,0.000416,0.000416
42,2283.86,0.7615,0.57661,0.92352,0.97324,0.97667,0.98608,0.79912,0.72517,0.51059,0.86397,0.0003764,0.0003764,0.0003764
43,2328.89,0.68202,0.54911,0.88442,0.97318,0.97667,0.98838,0.82747,0.66913,0.50435,0.83896,0.0003368,0.0003368,0.0003368
44,2378.83,0.66309,0.52033,0.9064,0.9735,0.97973,0.98942,0.84558,0.6165,0.4556,0.82698,0.0002972,0.0002972,0.0002972
45,2436.91,0.61999,0.50856,0.88326,0.9735,0.97949,0.98857,0.84162,0.62992,0.45237,0.82662,0.0002576,0.0002576,0.0002576
46,2484.38,0.62211,0.50129,0.87878,0.97594,0.97667,0.99076,0.86251,0.56863,0.44328,0.81612,0.000218,0.000218,0.000218
47,2524.52,0.57714,0.48648,0.86526,0.97584,0.97667,0.98972,0.86248,0.562,0.42937,0.81309,0.0001784,0.0001784,0.0001784
48,2570.21,0.57815,0.46947,0.86057,0.97573,0.97667,0.9899,0.8584,0.58323,0.44313,0.81207,0.0001388,0.0001388,0.0001388
49,2610.02,0.58055,0.48182,0.86798,0.97597,0.97667,0.98982,0.8617,0.57826,0.43607,0.81055,9.92e-05,9.92e-05,9.92e-05
50,2655.01,0.59177,0.49324,0.87813,0.97594,0.97667,0.99025,0.8729,0.52764,0.4221,0.80234,5.96e-05,5.96e-05,5.96e-05
